Username,Approval,Twitter URL,Followers,ETH Address,Payout #1,Payout #2,Payout #3,Payout #4,Payout #5
yitzjoe,✓,https://twitter.com/yitzjoe2,3799,0xeaF58FD9a102a39Ed3398112bCC1A6e3D1Ab287C,20,18,15,15,15
josephinerosdy,✓,https://twitter.com/josephinerosdy,4256,0x806D60C77ECD624bD3fa68d88e98A5CC3115B522,20,18,15,15,15
segobebek,✓,https://twitter.com/bitcoin_honor,43.5K,0x9c82F46aCE73D44557407362Ba263df7c1fb97E6,20,18,15,15,15
MD Milon,✓,https://twitter.com/MdMilon24635854,375,0xe633b21dc49e06C731600038e9d6D3bA25DcE622,20,18,15,15,15
soycams,✓,https://twitter.com/soy_cams,2660,0x8E00BEcE533a78aAe7bbdCF45AAA73425655e039,20,18,15,15,15
yinoye,✓,https://twitter.com/orlerzoupour,1210,0x3C293e985EE8ce465D981D1FF14b7ee692375dF9,20,18,15,15,15
coin1drop,✓,https://twitter.com/CoinM4ster,5400,0x387a464Ae99d831b7953b16EBeA995792f540094,20,18,15,15,15
bongens,✓,https://twitter.com/bon_genson,2030,0x09B7dE8442aFcf7203375136c9291AC3aF77b89f,20,18,15,15,15
arun9900,✓,https://twitter.com/arun_nishad,7330,0x2Cbc78b7DB97576674cC4e442d3F4d792b43A3a9,20,18,15,15,15
Den2142552,✓,https://twitter.com/NSweet0112,5730,0xAd65a148495338f443ae3357f43C0D0cF2c3734e,20,18,15,15,15
esquire042,✓,https://twitter.com/isiaku2003,776,0x78a94E61f41BAd86ae6642Cf7e4d953901e5894f,20,18,15,15,15
Valen214,✓,https://twitter.com/AililDiag,2580,0x3e235Af875eDb58AAEbcf82F8b987218F4cbD9cF,20,18,15,15,15
@ngelcryptopia,✓,https://twitter.com/angelcryptopia,1070,0x5878Bfc4eACA57acC601395b81Fb163014F3c47D,20,18,15,15,15
rifqirdh,✓,https://twitter.com/the50bucks,12.4K,0x6E9c63C82D82d271c216593587b7296662cB295A,20,18,15,15,15
shkwarka333,✓,https://twitter.com/MakcSkullfed,1300,0x4184a52221759caB3F8d553c2DE32a0B9bb75841,20,18,15,15,15
BitcoinHunterXHunter,✓,https://twitter.com/GlenFord124,3000,0xD78576E1f671D1adD3545b7ccF85f808a03a34De,20,18,15,15,15
kholiqaq,✓,https://twitter.com/lilaelek,9096,0x4be0D62Fc296136326F1A6BB6E3A543472c41820,20,18,15,15,15
leshidogv2,✓,https://twitter.com/lessiedhelMo,807,0x18ad86899744E986D6E9ECb56fA0B7De62150172,20,18,15,15,15
sworker,✓,https://twitter.com/sajjad884859,3910,0x509798cDD5DA6bC55A8753C86E591eD3a127f2df,20,18,15,15,15
tranquanghuy,✓,https://twitter.com/MrKubem,6589,0x70fEdf709E894AB0799e2F9BDB04dcA5B4A4Ed62,20,18,15,15,15
mworker,✓,https://twitter.com/mdibrah09315043,3937,0x56cc8cD2d60089aa6871982927ffACc7E32eDf2D,20,18,15,15,15
NJSNAY,✓,https://twitter.com/NJSNAY,5155,0xB37651e15898411Ac898E3C1A109fBE59204E81f,20,18,15,15,15
Murdered38,✓,https://twitter.com/dk_setyawan,2570,0x8438C5BcC753938A2FaF3594E810ed464f1d67F3,20,18,15,15,15
sa123,✓,https://twitter.com/SakuniAmasha,4010,0x9FB822cD2D2f2c81CE15b69A32Ce48a0F725957C,20,18,15,15,15
vinjan,✓,https://twitter.com/yudiwilia,4300,0xd213f7Af57f8034f415D990Da387E95c51b89958,20,18,15,15,15
GermesS,✓,https://twitter.com/GermesS3777,5600,0xAE919dAA5c3340aC191b2c2B49c768792C23Ae1C,20,18,15,15,15
Litrbooh,✓,https://twitter.com/Foundercry,11.9K,0xC5b64fd380A8beA0Cf5B3C7956f5FBFd4748acBe,20,18,15,15,15
3philong,✓,https://twitter.com/HaiNguy72755203,6200,0xac9Fba9971227CEfa9590E133cAbde96ee1b2BF5,20,18,15,15,15
duchaitp,✓,https://twitter.com/duchaitp,3246,0xc3A711DbC12f11db914b3A772dA53A4Fb7546D6e,20,18,15,15,15
web_PC,✓,https://twitter.com/MonsTercrpyto,10.6K,0x5a79325Ae1544022bAE818a81F92158e6f0095D5,20,18,15,15,15
FARid211,✓,https://twitter.com/Anglepori211,2100,0x31bE0aDD6Bdf76f31f10De6dEbc11011147a4a8B,20,18,15,15,15
jenveno,✓,https://twitter.com/Kingstarter11,12.8K,0x967c29575f39874b0cae2192df64256C1671E2E6,20,18,15,15,15
jasmine226,✓,https://twitter.com/jasmine22682,2043,0x2Cc8A2cB8b8261df1B03766E4461a3eE90a916f4,20,18,15,15,15
ROMANALADIN,✓,https://twitter.com/Kozyreva123,5600,0xCDAdC39a1C2e4fe0A5FA7c8194a16e036d54c3C0,20,18,15,15,15
chibimanau,✓,https://twitter.com/NguyenV76603903,5400,0x138c69B0129Aa4Ab493dB627e93267b587a908e3,20,18,15,15,15
erpalum,✓,https://twitter.com/Openlolli,10K,0x620Fcbd855D2F9533E021b325E479DEBA942f792,,18,15,15,15
forLexx,✓,https://twitter.com/forlexx,10K,0xf9F175dea38e8fA8Fb8Fe8954835b99dcFF49397,,18,15,15,15
BitcoinHunterXHunter,✓,https://twitter.com/GlenFord124,3000,0xD78576E1f671D1adD3545b7ccF85f808a03a34De,,18,15,15,15
pedangrusak,✓,https://twitter.com/vandejoe2,5033,0xf4e01f7d67d18B7b6A01DF8c5bdC4aFc1bFF59b9,,18,15,15,15
shkwarka333,✓,https://twitter.com/MakcSkullfed,1600,0x4184a52221759caB3F8d553c2DE32a0B9bb75841,,18,15,15,15
altsMlk,✓,https://twitter.com/malinda_LK,3200,0x1A3913CABE85598f6C4c0A32634CA1179E31170d,,18,15,15,15
Swenna,✓,https://twitter.com/MaePizarra,1128,0x73f1754927A094015d7F8487dD6d4283dB8f4C62,,18,15,15,15
Mustafa SiSic,✓,https://twitter.com/amirimem,12K,0x0241DcB5a8ECa186B2182df5A2AeCd1D83A9EA68,,18,15,15,15
esprit man,✓,https://twitter.com/espritman999,4400,0x38d952827fbdb49221bE81783FfCd18aAf20AD30,,18,15,15,15
SonaraBeta,✓,https://twitter.com/karinavlasova25,3469,0x1D7D86460B94fd9771443309E106Fb7E56DA2Ba3,,18,15,15,15
Jaka87,✓,https://twitter.com/Angelj763,4350,0xeDa6d32b5Ffc2a5c8ea54c65C177463DAe046840,,18,15,15,15
btcgainer24724,✓,https://twitter.com/nilmegh12,3338,0x8c6dF2fD469F88bC5c214e37bd2F23851f96809e,,,15,15,15
cryptomup,✓,https://twitter.com/CryptoMup,5176,0x7A751DFe07409ad2A4a29Bf14C0d682bEe93b7e2,,,15,15,15
ktea666,✓,https://twitter.com/yohsa88,17.3K,0x1163DB994586f5a6eA5B40de105b8b45FF78a689,,,15,15,15
haidangtp,✓,https://twitter.com/haidangtp,502,0xcCd08C76Fdca09A6bE149be67412EFAC87aB61a6,,,15,15,15
Ismat Morshed,✓,https://twitter.com/IsmatJa19178957,2200,0x0e7eE4e49284fDb8338488C5e66E9985F8e174bc,,,15,15,15
taongam,✓,https://twitter.com/nhatan247,8876,0x790A3cad8aFc9500530D74283686385398E0a755,,,15,15,15
tricky boy,✓,https://twitter.com/trickyboy2729,5400,0x44dDcE3AEe83192990b42294490dfd948e27e966,,,15,15,15
Singwala,✓,https://twitter.com/cepedajohnrey,2100,0x1e213cF22ac4a12aB6B6aF325fF694779c6270D6,,,15,15,15
pacho08,✓,https://twitter.com/CarlawSSSSS,1075,0x8eB173c458A505a22CaAB0Ee0209751ad91Bee0a,,,15,15,15
Wani,✓,https://twitter.com/Muhamma80149473,1633,0xa9A62139311F22D837C738219e30Eb7752d3C605,,,15,15,15
EGOR EXACT,✓,https://twitter.com/KryptoTwitt,2500,0x734CD8c208435811e37FeE3E5dC209007E93df9E,,,15,15,15
Mauzzer,✓,https://twitter.com/EssekerCoin,14.6K,0xcc887127D931450a1D031215f09671859757F838,,,15,15,15
makoitus,✓,https://twitter.com/MrMakoi,3398,0xa9D36D338Bdd48FBfa9dE17a7fa22a7d1aef975C,,,15,15,15
AndreyAKS,✓,https://twitter.com/Aksenow_Andrey,4415,0xc5434dD11dc3E22486532CC9c7857545a6E650a5,,,15,15,15
koplakremponk,✓,https://twitter.com/koplakremponk,1000,0x94A6400184D0480055641225947BE017982486Be,,,15,15,15
rahmanrock,✓,https://twitter.com/ssohanurrahman2,3749,0x71c209B11362A00FfBfE8d4299B9eE7b39DC3008,,,15,15,15
jawlue94,✓,https://twitter.com/jawlue94,1579,0x958bf637c713EF2C20f4424C5f6336587238A1F8,,,15,15,15
gogoprist,✓,https://twitter.com/GaroldRower,6226,0x0e4B95BBD895c81482Fc4f4D206eC755C4236D38,,,15,15,15
Mantisa83,✓,https://twitter.com/Liliya495,4010,0x143f59A34CB2Bde47e7eD494A0Ac26FCC1bDa141,,,15,15,15
bobrikov1996,✓,https://twitter.com/1996Bobrikov,4800,0x63Ba2569394A9373C25bE78e6aB94c0b0752C63d,,,,15,15
shulern,✓,https://twitter.com/shulernm,5603,0x9122f5A2eBE6EC75A00CcCd49749fBE9f537c3ed,,,,15,15
0RajA0,✓,https://twitter.com/rpmohanraja,2000,0xe51D4F788a5fA93961Fcb18661fEA47Bf7867a8e,,,,15,15
